sent_id,sent,anno
0,《#排球#少年#》#正當#紅,O O O O O O O O O O O O O O
2,早#就#讓#粉絲#跟著#球隊#感動#的#一#把#鼻涕#一#把#眼淚#、#激動#的#放聲#尖叫,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6,但#新一代#的#你#又#知道#哪#幾#位#明日#之#星#呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8,陳政錡#在#場#上#就#像是#溫暖#小太陽,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O
11,有#著#192#身高#優勢#的#他,O O O O O O O O O O O O O O O O O
13,不論#是#攔網#、#攻擊#總是#能#輕易#抓住#粉絲#的#目光,O O O O O B-DEFENSE I-DEFENSE O O O B-ATTACK I-ATTACK O O O O O O O O O O O O O O O O O O O
14,是#新一代#的#人氣王#之#一,O O O O O O O O O O O O O O O
15,陳政錡#過去#畢業#於#排球#名校#華僑#高中#就#是#發光#的#明日#之#星,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
24,李佳軒#披#過#多#次#國家隊#戰袍,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O
26,穩紮穩打#成為#國家隊#、#台電隊#不可或缺#的#守護神,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
29,同樣#跟隨#腳步#挑戰#國家隊#和#企排#的#排球#殿堂,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
34,每每#得分#贏#球#的#一#笑,O O O O O O O O O O O O O O O
35,迷妹#們#也#忍不住#「#姨母#笑#」#噴發,O O O O O O O O O O O O O O O O O O O O O O
39,黑#到#發亮#的#皮膚#讓#不#熟悉#排球#的#人#以為#球隊#找來#強力#外援,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
45,更#被#選為#中華#台北#U19#代表隊,O O O O O O O O O O O O O O O O O O O O
47,李尼希米#才#加入#企排#第一#年,B-PERSON I-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O
51,看到#他#得分#時#放聲#大吼#、#攻擊#起跳#的#爆發力,O O O O O O O O O O O O O O O O O O B-ATTACK I-ATTACK O O O O O O O O O
53,這#鮮肉#寶物#還#不#先#搶起來#收藏,O O O O O O O O O O O O O O O O O O O O
55,加上#穿#衣精瘦#脫衣#有#肉#的#修長#身材,O O O O O O O O O O O O O O O O O O O O O O O
