sent_id,sent,anno
0,《#排球#少年#》#正當#紅,O O O O O O O O O O O O O O
5,其中#「#黑狗#隊長#」#陳建禎#、#「#電眼#雙帥#」#鴻敏#鴻杰#、#「#黃金#左手#」#吳宗軒#都#是#大家#熟知#兼具#外型#魅力#、#球技#實力#的#排球#選手,O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O B-PERSON I-PERSON O B-PERSON I-PERSON O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
11,有#著#192#身高#優勢#的#他,O O O O O O O O O O O O O O O O O
14,是#新一代#的#人氣王#之#一,O O O O O O O O O O O O O O O
16,隨後#U23#代表隊#、#世大運#、#企排#聯賽#更#是#磨練#他#一#步#一#步#打出#自己#的#一#條#路,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
17,《#排球#少年#》#有#守護神#西谷,O O O O O O O O O O O O O O O O O O
20,在#排球#裡#得分#的#攻擊#手#往往#是#被#高度#矚目#的#球員,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
21,但#其實#超#強攻擊#背後#往往#都#有#靈活#、#穩定#的#自由#球員#當#靠山,O O O O O O O O B-ATTACK I-ATTACK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
23,比賽#就#不會#輸#」#的#信念,O O O O O O O O O O O O O O O O
26,穩紮穩打#成為#國家隊#、#台電隊#不可或缺#的#守護神,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
33,私下#的#他#有#著#靦腆#帥哥#笑容,O O O O O O O O O O O O O O O O O O O
34,每每#得分#贏#球#的#一#笑,O O O O O O O O O O O O O O O
36,挺#鼻#、#深邃#五官#的#小#鮮肉#標#配,O O O O O O O O O O O O O O O O O O O O O O
39,黑#到#發亮#的#皮膚#讓#不#熟悉#排球#的#人#以為#球隊#找來#強力#外援,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
48,前途#一#片#看好,O O O O O O O O O
49,在#場#上#和#隊友#配合#得宜,O O O O O O O O O O O O O O O O
52,加上#那#閃閃#發亮#的#笑容,O O O O O O O O O O O O O O O
55,加上#穿#衣精瘦#脫衣#有#肉#的#修長#身材,O O O O O O O O O O O O O O O O O O O O O O O
59,不僅#曾#拿下#年度#最佳#邊線攻擊#球員#獎項,O O O O O O O O O O O O O O O O O O O O O O O O
61,國內外#滿滿#的#比賽#經驗#和#好#球技#讓#他#被#視為#未來#之#星,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
64,每#一#次#起跳#像是#沒有#集滿#全力,O O O O O O O O O O O O O O O O O O O O
65,卻#在#一連串#流暢#的#攻擊#步伐#和#重扣#裡#打爆#對手,O O O O O O O O O O O O O B-ATTACK I-ATTACK O O O O O O B-ATTACK I-ATTACK O O O O O O O O
66,且#靈活#的#攻擊#路線#和#方式,O O O O O O O B-ATTACK I-ATTACK O O O O O O O O
73,並且#連#得#3#分,O O O O O O O O O O
82,雖然#連續#失誤#被#追近,O O O O O O O O O O O O O
83,中華#雙人攔網#25:20,O O O B-DEFENSE I-DEFENSE I-DEFENSE I-DEFENSE O O O O O O
86,極速#超跑#今年#也#新#加入#許多#球員,O O O O O O O O O O O O O O O O O O O O O
88,陳菀婷#表示,B-PERSON I-PERSON I-PERSON O O O
92,像是#企排#之類#的,O O O O O O O O O O
94,「#隊友#在#這#場#的#表現#在#接發球#的#時候,O O O O O O O O O O O O O O O O O O B-DEFENSE I-DEFENSE I-DEFENSE O O O O O
95,還是#要#多#喊聲,O O O O O O O O O
98,也#已經#感覺到#很#不#一樣#的#感覺,O O O O O O O O O O O O O O O O O O O O
99,「#給#我們#更多#想法,O O O O O O O O O O O O
102,或是#在#賽前#的#新#的#東西,O O O O O O O O O O O O O O O O
112,桃園#臺產#本#週#作客#雲林,O O O O O O O O O O O O O O O
115,今日#更#是#飛撲救球#直#衝#大會#播報#台,O O O O O O O B-DEFENSE I-DEFENSE I-DEFENSE I-DEFENSE O O O O O O O O O O O O
118,自己#以#學長#身分#觀察陣#中#學弟,O O O O O O O O O O O O O O O O O O O
119,開季#至今#球隊#有#漸入佳境,O O O O O O O O O O O O O O O
120,也#慢慢#能#與#其他#隊伍#相#抗衡,O O O O O O O O O O O O O O O O O O O
122,「#得分#其實#是#其次,O O O O O O O O O O O O
123,最#重要#的#還是#靠#著#隊友#幫助#、#舉球,O O O O O O O O O O O O O O O O O B-COOPERATION I-COOPERATION O O O B-ATTACK I-ATTACK
124,才#能#創造#最#大#的#得分#機會,O O O O O O O O O O O O O O O O O O
126,下#半#季#我們#其實#是#有#機會#成為#一#支#黑馬#球隊#的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
127,第二#場#比賽#conti#面對到#男子組#老大哥#台電#公司,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
128,球員#卯足#拚勁#攻守,O O O O O O O O O O O
132,conti隊#陷入#低潮,O O O O O O O O O O O O
136,但#郭家銘#為了#救球#越過#電子#看板#撞#牆#落地#後,O O B-PERSON I-PERSON I-PERSON O O O O B-DEFENSE I-DEFENSE O O O O O O O O O O O O O O O O O O
137,conti隊#氣勢#受到#打擊,O O O O O O O O O O O O O O O
140,「#其實#今天#球員#表現#狀況#還#不錯,O O O O O O O O O O O O O O O O O O O O O
141,只#可惜#在#第二#局#郭家銘#受傷#後,O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O
142,大家#多少#受到#影響,O O O O O O O O O O O
143,林顯丞#表示,B-PERSON I-PERSON I-PERSON O O O
144,在#郭家銘#受傷#送醫#後,O O B-PERSON I-PERSON I-PERSON O O O O O O O O
146,後#半#段#賽事#改採#讓#每#位#球員#都#有#上場#機會,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
149,企業#排球#聯賽#14日#第一#場#男子組#賽事,O O O O O O O O O O O O O O O O O O O O O O O O
151,猶如#上#週#許美中#所#言,O O O O O O O B-PERSON I-PERSON I-PERSON O O O O
156,皆#頻頻#建功,O O O O O O O
157,洪熙鈞#也#在#這#場#比賽#攻得#全#隊#最#高#分#21#分,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
161,球隊#中年紀#較#小#的#學弟#有#越來越#適應隊#上#球風#及#節奏,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
165,今天#能#撐下來#一起#守下#勝利,O O O O O O O O O O O O O O O O O
166,真的#是#非常#不#容易,O O O O O O O O O O O O
169,而#今日#場#上#另#一#亮點,O O O O O O O O O O O O O O O
172,睽違#三#週#回到#企聯#比賽場#上,O O O O O O O O O O O O O O O O O O
175,提振#球隊#士氣,O O O O O O O O
176,可惜#最終#仍#沒#能#在#五#局#中#脫穎而出,O O O O O O O O O O O O O O O O O O O O O O O O
177,conti隊#上#週#在#郭家銘#飛撲救球#送醫#後,O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O B-DEFENSE I-DEFENSE I-DEFENSE I-DEFENSE O O O O O
178,氣勢#遭#逆轉#吞敗,O O O O O O O O O O
179,今日#郭家銘#彌補#上#週#未#能#完賽#的#遺憾,O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O
184,「#其實#今天#球員#表現#得#還#不錯,O O O O O O O O O O O O O O O O O O O O
187,也#算是#不錯#了,O O O O O O O O O
189,也#能#看出來#他#一直#有#在#勇於#突破,O O O O O O O O O O O O O O O O O O O O O O
190,變#得#比較#敢#打,O O O O O O O O O O
196,讓#台電#公司#沒#能#輕鬆#取勝,O O O O O O O O O O O O O O O O O
197,繼#昨日#敗於#臺北#鯨華#後,O O O O O O O O O O O O O O O
199,在#今日#一#展#士氣#、#阻斷#台電#女排#連勝#戰績,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
200,教練#曾華鈺#表示,O O O B-PERSON I-PERSON I-PERSON O O O
201,今日#每#位#球員#一#開賽#很#快#就#進入#比賽#狀況,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
202,無論#是#在#防守#的#站位,O O O O O O O B-DEFENSE I-DEFENSE O O O O O
204,都#有#成功#在#今天#拿下#分數,O O O O O O O O O O O O O O O O O
205,而#今日#中纖陣#中#劉美菁#、#葉于雯,O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON
208,台電#女排#在#今日#前#兩#局,O O O O O O O O O O O O O O O O
209,便#面臨#連勝#壓力,O O O O O O O O O O
210,頻頻#在#發球#、#攻擊#上#發生#失誤,O O O O O O O O O O B-ATTACK I-ATTACK O O O O O O O O
211,導致#後續#追分#吃力,O O O O O O O O O O O
212,而#今日#擔當#拚#分#要角#的#李諭,O O O O O O O O O O O O O O O O O B-PERSON I-PERSON
214,力拼#追分#同時#李諭#便#在#第三#局#後#半#發生#了#左側#小腿#抽筋#的#狀況,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
215,李諭#說,B-PERSON I-PERSON O O
216,「#很多#人#當然#都#會#希望#我們#連勝#、#不#敗,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
223,想盡#快#回到#場#上#替#球隊#建功,O O O O O O O O O O O O O O O O O O O
227,第一#局#便#發生#愛#山林#舉球#員#欒妤雯#因#網#上#爭#球#落地#時,O O O O O O O O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O
229,下場#後#直接#送醫#檢查,O O O O O O O O O O O O O
230,但#小將#們#的#氣勢#仍舊#與#超跑力#拚到#第三#局#延長賽,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
231,最終#雖#不敵#極速#超跑,O O O O O O O O O O O O O
234,第一#局#兩#隊#分數#來到#5:5#時,O O O O O O O O O O O O O O O O O O O O
239,雖然#沒#能#在#三#局#中#要#下#15年#第二#勝,O O O O O O O O O O O O O O O O O O O O O O O O O O O
241,著實#展現#「#球#不#落地#、#永#不#放棄#」#精神,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
243,但#隊友#陳政錡#填補#上#得分#空缺,O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O
244,在#攔網#和#攻擊#方面#皆#有#亮眼#表現,O O B-DEFENSE I-DEFENSE O O O B-ATTACK I-ATTACK O O O O O O O O O O O O O
245,桃園#臺產隊#在#身高#上#處#劣勢,O O O O O O O O O O O O O O O O O O
246,台電#男排#頻#靠#著#林宜暉#、#顏振富#和#詹旻翰#的#攔網#拿下#分數,O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O B-DEFENSE I-DEFENSE O O O O O O
250,但#他們#可能#還是#打#得#比較#順手,O O O O O O O O O O O O O O O O O O O O
253,我們#跟#台電#的#實力#還是#有#段#距離,O O O O O O O O O O O O O O O O O O O O O O
256,今日#長力隊#焦璿誠#和#潘均儒#在#攻擊#端#火力#全#開,O O O O O O O B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O B-ATTACK I-ATTACK O O O O O O O O O
257,兩#人#皆#有#兩#位數#得分#進帳,O O O O O O O O O O O O O O O O O O
259,長力#教練#莊世賢#賽#後#表示,O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O
262,第一#局#開局#由#臺北#鯨華#佔上風,O O O O O O O O O O O O O O O O O O O
266,收下#第一#局,O O O O O O O
267,延續#上局#末手感,O O O O O O O O O
271,連#下#兩#局,O O O O O O O
275,臺北#鯨華#執行#教練#鄧衍敏#表示,O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O
276,愛#山林#是#非常#好#的#青年軍,O O O O O O O O O O O O O O O O O
277,往年#青年軍#陣容#會#不斷#更動,O O O O O O O O O O O O O O O O O
281,她#則#表示,O O O O O O
286,本#週#正#值#華宗盃#賽期,O O O O O O O O O O O O O O
292,妤雯#不#在#戰力#多少#受#影響,B-PERSON I-PERSON O O O O O O O O O O O O O O O
296,在#陣#中#陳姿雅#、#李姿瑩#繳出#全#場#最#高#分#14#分#的#砲火#猛攻#下,O O O O O O B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O O O O B-ATTACK I-ATTACK O O
297,台電#女排#順利#以#直落#三#輕取#極速#超跑,O O O O O O O O O O O O O O O O O O O O O O O O
299,企業#16年#甲級#男女#排球#聯賽#下#半#賽季#2日#在#台大#體育館#展開,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
301,再度#寫下#不#敗#紀錄,O O O O O O O O O O O O
303,也#在#下#半#賽季#重返#企排,O O O O O O O O O O O O O O O O
304,直#呼#「#有時候#真的#很#技癢,O O O O O O O O O O O O O O O O O
305,過頭#了,O O O O
310,不過#去年#2月#賽季#初期#一#次#練習#時#不慎#造成#右手#脫臼,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
313,劉煜淳#說,B-PERSON I-PERSON I-PERSON O O
317,到#現在#還#沒有#完全#好,O O O O O O O O O O O O O O
319,劉煜淳#在#今天#台電#對#上中纖#的#比賽#中,B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O
321,拿下#第20#分#領先#時#才#替補#上場,O O O O O O O O O O O O O O O O O O O O O
322,「#因為#我#休息#了#一#個#賽季,O O O O O O O O O O O O O O O O O O
325,但是#我#還#不能#做#太多#太#激烈#、#動作#太#大#、#或是#攔網#、#單手#救球#等#動作,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-DEFENSE I-DEFENSE O O O O O O B-DEFENSE I-DEFENSE O O O O O
329,因為#一#整#年#沒有#碰球,O O O O O O O O O O O O O O
332,「#因為#我#還#沒辦法#完全#回場#上,O O O O O O O O O O O O O O O O O O O O
335,跟#大家#一起#就#很#開心,O O O O O O O O O O O O O O
337,但#不行#做#的#還是#不行,O O O O O O O O O O O O O O
342,劉煜淳#說,B-PERSON I-PERSON I-PERSON O O
345,只是#沒有#在#替補#席,O O O O O O O O O O O O
347,學姊#們#就#要#提醒#我#要#注意#自己#狀況,O O O O O O O O O O O O O O O O O O O O O O O O
355,陳姿雅#、#張秝芸#2#人#相互#大砲猛攻,B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O O O O O O B-ATTACK I-ATTACK I-ATTACK I-ATTACK
356,率#球隊#以#25#比#17#、#25#比#14#搶先#聽#牌,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
360,以#25#比#22#驚險#拿勝,O O O O O O O O O O O O O O O
361,力退鯨華,O O O O
366,「#運動員#都#有#一#股#不能#輸#的#精神,O O O O O O O O O O O O O O O O O O O O O O O
368,」,O
370,張秝芸#說,B-PERSON I-PERSON I-PERSON O O
371,「#一#開局#因為#失誤#太多#導致#大家#情緒#低落,O O O O O O O O O O O O O O O O O O O O O O O O O O O
372,幸好#在#黃芯瑜#的#連續#4#顆#發球#帶動#球隊#反攻#氣勢,O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O O O O
373,才#能#逆轉#贏得#比賽,O O O O O O O O O O O O
374,本#週#最後#登場#賽事#由#中國#人纖#出戰#極速#超跑,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
376,幾#波#精彩#防守#帶動#現場#氣氛,O O O O O O O B-DEFENSE I-DEFENSE O O O O O O O O O
384,2018年#印尼#亞加達#亞運#中華#男排#睽違#20#年,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
385,再度#奪下#銅牌#締造#佳績,O O O O O O O O O O O O O O
389,電眼#雙胞胎#劉鴻杰#、#劉鴻敏#回到#台灣,O O O O O O O B-PERSON I-PERSON I-PERSON O O O B-PERSON I-PERSON I-PERSON O O O O O O
391,中華#男排#在#亞運#擊敗#卡達,O O O O O O O O O O O O O O O O
