sent_id,sent,anno
0,《#排球#少年#》#正當#紅,O O O O O O O O O O O O O O
2,早#就#讓#粉絲#跟著#球隊#感動#的#一#把#鼻涕#一#把#眼淚#、#激動#的#放聲#尖叫,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
4,讓#台灣人#漸漸#關注到#默默#耕耘#多#年#的#排球賽事,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5,其中#「#黑狗#隊長#」#陳建禎#、#「#電眼#雙帥#」#鴻敏#鴻杰#、#「#黃金#左手#」#吳宗軒#都#是#大家#熟知#兼具#外型#魅力#、#球技#實力#的#排球#選手,O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O B-PERSON I-PERSON O B-PERSON I-PERSON O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6,但#新一代#的#你#又#知道#哪#幾#位#明日#之#星#呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
9,隊友#得分#他#比#別人#更#開心,O O O O O O O O O O O O O O O O O
11,有#著#192#身高#優勢#的#他,O O O O O O O O O O O O O O O O O
12,加上#白皙#帥氣#外型#、#高挑#身材,O O O O O O O O O O O O O O O O O O O
14,是#新一代#的#人氣王#之#一,O O O O O O O O O O O O O O O
16,隨後#U23#代表隊#、#世大運#、#企排#聯賽#更#是#磨練#他#一#步#一#步#打出#自己#的#一#條#路,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
17,《#排球#少年#》#有#守護神#西谷,O O O O O O O O O O O O O O O O O O
18,中華#男排#有#強力#後援#李佳軒,O O O O O O O O O O O O O O B-PERSON I-PERSON I-PERSON
19,「#自由#男神#」#李佳軒#其實#早已#是#大前輩#、#大學#長,O O O O O O O O O O B-PERSON I-PERSON I-PERSON O O O O O O O O O O O O O O O O O O O
20,在#排球#裡#得分#的#攻擊#手#往往#是#被#高度#矚目#的#球員,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
21,但#其實#超#強攻擊#背後#往往#都#有#靈活#、#穩定#的#自由#球員#當#靠山,O O O O O O O O B-ATTACK I-ATTACK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
23,比賽#就#不會#輸#」#的#信念,O O O O O O O O O O O O O O O O
